LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid_sd
SCH,7,Arlington County,150,Barcroft Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,60,NA,36,6,NA,4,Barcroft Elementary Arlington County,38.8619352,-77.1082263,5100270
SCH,7,Arlington County,250,Barrett Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,66,NA,36,12,NA,6,Barrett Elementary Arlington County,38.873056,-77.1123519,5100270
SCH,7,Arlington County,615,Campbell Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,83,NA,57,20,NA,10,Campbell Elementary Arlington County,38.858045,-77.1261426,5100270
SCH,7,Arlington County,380,Cardinal Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,91,NA,83,30,NA,21,Cardinal Elementary Arlington County,38.8861689,-77.1420598,5100270
SCH,7,Arlington County,90,Carlin Springs Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,40,NA,21,2,NA,0,Carlin Springs Elementary Arlington County,38.8628238,-77.1323053,5100270
SCH,7,Arlington County,622,Claremont Immersion,Elem,PK,5,English: Reading,Gr 3,English Reading,76,NA,68,21,NA,9,Claremont Immersion Arlington County,38.8477114,-77.1057587,5100270
SCH,7,Arlington County,626,Discovery Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,80,NA,81,28,NA,15,Discovery Elementary Arlington County,38.9085217,-77.1472935,5100270
SCH,7,Arlington County,200,Dr. Charles R. Drew Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,72,NA,37,17,NA,2,Dr. Charles R. Drew Elementary Arlington County,38.8484488,-77.0868857,5100270
SCH,7,Arlington County,111,Escuela Key Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,67,NA,64,29,NA,19,Escuela Key Elementary Arlington County,38.8797222,-77.1218534,5100270
SCH,7,Arlington County,100,Glebe Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,87,NA,84,42,NA,20,Glebe Elementary Arlington County,38.892637,-77.12128,5100270
