"","Tract","GEOID","NAME","ChildcareAware-0yr-min","ChildcareAware-1yr-min","ChildcareAware-2-3yr-min","ChildcareAware-4-5yr-min","ChildcareAware-5-12yr-min","ChildcareAware-0yr-avg","ChildcareAware-1yr-avg","ChildcareAware-2-3yr-avg","ChildcareAware-4-5yr-avg","ChildcareAware-5-12yr-avg","ChildcareAware-0yr-max","ChildcareAware-1yr-max","ChildcareAware-2-3yr-max","ChildcareAware-4-5yr-max","ChildcareAware-5-12yr-max"
"50","51059980100","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"51","51520020201","51520","Bristol",440,420,420,380,380,460,452,440,420,400,500,500,460,460,420
"52","51760020800","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"53","51027010100","51027","Buchanan",600,560,540,520,500,600,560,540,520,500,600,560,540,520,500
"54","51059452801","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"55","51013101407","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"56","51650010503","51650","Hampton",520,520,420,380,360,784,772,640,588,460,1064,1064,876,800,600
"57","51550020003","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"58","51111930100","51111","Lunenburg",683.306388888889,646.778611111111,508.255,496.405,491.305555555556,788.333333333333,739.472222222222,557.89,542.245,583.083333333333,901.055555555556,853.083333333333,603.585,588.865,668.75
"59","51059481106","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"60","51059451200","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"61","51810045430","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"62","51770003100","51770","Roanoke",220,220,192,200,340,1084,980,708,656,516,1480,1360,932,860,640
"63","51760020501","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"64","51810041803","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"65","51760050300","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"66","51013101601","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"67","51087200412","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"68","51760041300","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"69","51550020500","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"70","51183870202","51183","Sussex",791.238580555556,765.205525,518.937921626984,509.7253125,502.312761904762,931.947222222222,889.0175,586.694791666667,571.107713293651,574.699047619048,1092.08027777778,1034.94416666667,658.428546626984,645.292633928571,653.063238095238
"71","51810046211","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"72","51770002600","51770","Roanoke",220,220,192,200,340,1084,980,708,656,516,1480,1360,932,860,640
"73","51800075205","51800","Suffolk",680,680,520,520,604,796,744,624,604,604,912,812,732,672,604
"74","51059480201","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"75","51059420600","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"76","51810045414","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"77","51550020812","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"78","51740212000","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"79","51013102600","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"80","51087200413","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"81","51097950400","51097","King and Queen",791.301079365079,716.431238095238,540.28253968254,497.465714285714,537.68,869.31746031746,768.438095238095,643.676190476191,583.987301587302,582.133333333333,961.901587301587,827.62380952381,741.239682539683,690.414285714286,632.946666666667
"82","51700032133","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"83","51013102903","51013","Arlington",1000,1000,1000,1000,1388,1788,1756,1528,1428,1412,2040,2040,1776,1620,1440
"84","51087200305","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"85","51087200151","51087","Henrico",620,580,520,460,400,1040,964,796,768,624,1738,1562,1298,1480,1000
"86","51179010214","51179","Stafford",600,600,368,384,420,856,832,716,712,596,1048,1048,928,908,780
"87","51685920100","51685","Manassas Park",723.04,649.706666666667,616.2,604.2,568.72,1466.66666666667,1405.33333333333,1300,1238.66666666667,966.666666666667,2470.33333333333,2335,2197.33333333333,2120,1878.97333333333
"88","51810044201","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"89","51155980200","51155","Pulaski",519.466666666667,486.4,500,500,500,609.066666666667,569.973333333333,500,500,500,674.933333333333,633.866666666667,500,500,500
"90","51059481701","51059","Fairfax",289.12,289.12,268.6,232.6,620,1524,1456,1340,1252,1072,2295,2065,1940,1840,1836.92
"91","51710005100","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"92","51041100206","51041","Chesterfield",827.08,827.08,576,576,516,1032,992,848,808,724,1248,1200,1088,1020,920
"93","51107611016","51107","Loudoun",1180,1180,1000,992,500,1556,1488,1360,1280,1156,1820,1780,1720,1640,1600
"94","51760060200","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"95","51760050500","51760","Richmond",208,208,340,340,340,1000,944,704,664,392,1400,1153.84,1153.84,1153.84,500
"96","51680000500","51680","Lynchburg",420,420,320,320,320,660,636,516,496,464,796,796,744,652,560
"97","51610500100","51610","Falls Church",1800,1320,1100,1100,1100,1800,1560,1332,1180,1100,1800,1800,1644,1344,1100
"98","51710007001","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"99","51810043600","51810","Virginia Beach",725,640,600,580,400,996,916,836,792,660,1320,1200,1060,1060,940
"100","51510202001","51510","Alexandria",896,896,848,512,460,1664,1544,1456,1300,460,2032,1800,1708,1660,460
"101","51710005702","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"102","51710004100","51710","Norfolk",600,520,480,400,420,808,724,648,624,528,1000,840,840,820,600
"103","51700030600","51700","Newport News",916,580,500,500,340,948,804,716,680,536,980,920,880,820,750
"104","51740212801","51740","Portsmouth",696.833333333333,613.333333333333,503.333333333333,480,425.333333333333,890,813.333333333333,704,665.333333333333,568,1082,1002,907.333333333333,851.333333333333,725
"105","51550021605","51550","Chesapeake",740,740,500,500,428,1008,920,760,704,620,1216,1176,1056,936,856
"106","51081880102","51081","Greensville",783.54,766.873333333333,490.375,489.125,502.333333333333,904,867.333333333333,527.25,521.625,555,1030.66666666667,990,559.625,552.625,605
