"geoid","year","NAME","measure","region_type","value"
51059420202,2021,"Census Tract 4202.02, Fairfax County, Virginia","average_years_schooling","tract",15.7815840621963
51059420203,2021,"Census Tract 4202.03, Fairfax County, Virginia","average_years_schooling","tract",15.9238512035011
51059420300,2021,"Census Tract 4203, Fairfax County, Virginia","average_years_schooling","tract",15.5219072164948
51059420400,2021,"Census Tract 4204, Fairfax County, Virginia","average_years_schooling","tract",16.196516595465
51059420501,2021,"Census Tract 4205.01, Fairfax County, Virginia","average_years_schooling","tract",16.3336842105263
51059420502,2021,"Census Tract 4205.02, Fairfax County, Virginia","average_years_schooling","tract",15.5868977937866
51059420503,2021,"Census Tract 4205.03, Fairfax County, Virginia","average_years_schooling","tract",15.2964495001724
51059420600,2021,"Census Tract 4206, Fairfax County, Virginia","average_years_schooling","tract",14.7072238333773
51059420700,2021,"Census Tract 4207, Fairfax County, Virginia","average_years_schooling","tract",14.8466367713004
51059420800,2021,"Census Tract 4208, Fairfax County, Virginia","average_years_schooling","tract",14.7725510923185
51059421001,2021,"Census Tract 4210.01, Fairfax County, Virginia","average_years_schooling","tract",14.8890144665461
51059421002,2021,"Census Tract 4210.02, Fairfax County, Virginia","average_years_schooling","tract",14.451816570669
51059421101,2021,"Census Tract 4211.01, Fairfax County, Virginia","average_years_schooling","tract",15.3978437233134
51059421102,2021,"Census Tract 4211.02, Fairfax County, Virginia","average_years_schooling","tract",15.6112314915132
51059421103,2021,"Census Tract 4211.03, Fairfax County, Virginia","average_years_schooling","tract",15.0903907074974
51059421200,2021,"Census Tract 4212, Fairfax County, Virginia","average_years_schooling","tract",15.7790697674419
51059421300,2021,"Census Tract 4213, Fairfax County, Virginia","average_years_schooling","tract",15.7221865982687
51059421400,2021,"Census Tract 4214, Fairfax County, Virginia","average_years_schooling","tract",13.4366623432771
51059421500,2021,"Census Tract 4215, Fairfax County, Virginia","average_years_schooling","tract",12.929203539823
51059421600,2021,"Census Tract 4216, Fairfax County, Virginia","average_years_schooling","tract",13.0180802103879
51059421701,2021,"Census Tract 4217.01, Fairfax County, Virginia","average_years_schooling","tract",12.9305984827199
51059421702,2021,"Census Tract 4217.02, Fairfax County, Virginia","average_years_schooling","tract",13.6102629346904
51059421800,2021,"Census Tract 4218, Fairfax County, Virginia","average_years_schooling","tract",13.4980842911877
51059421900,2021,"Census Tract 4219, Fairfax County, Virginia","average_years_schooling","tract",14.3637724550898
51059422000,2021,"Census Tract 4220, Fairfax County, Virginia","average_years_schooling","tract",14.2986288265306
51059422101,2021,"Census Tract 4221.01, Fairfax County, Virginia","average_years_schooling","tract",14.8321704695455
51059422102,2021,"Census Tract 4221.02, Fairfax County, Virginia","average_years_schooling","tract",14.4449197860963
51059422201,2021,"Census Tract 4222.01, Fairfax County, Virginia","average_years_schooling","tract",15.6940489229646
